,symbol,HotScore,TrendScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,MomentumScore,VolumeScore,VolatilityScore,marketCap
144,MKSI,0.9411324786324786,0.8974358974358975,410.31,7.51795,1.8880715127555203,1182782.0,0.9508547008547008,0.9273504273504274,0.97008547008547,27714031616.0
145,MMYT,0.9048832271762208,0.7154989384288747,51.68,10.9727,2.229754349728716,1301403.0,0.9851380042462844,0.9554140127388536,0.7707006369426752,4902736384.0
146,MOD,0.5569767441860465,0.8914728682170543,296.075,3.6241813,0.1443431974891774,1133971.0,0.6589147286821705,0.1550387596899224,0.9147286821705426,15637434368.0
147,MOH,0.8567567567567568,0.8771498771498771,216.71,7.5911074,0.8632246703340278,1109608.0,0.9533169533169532,0.7076167076167076,0.9385749385749386,11290591232.0
148,MRNA,0.9047337278106508,0.6568047337278107,61.8,11.552342,1.83181870599151,6616479.0,0.9881656804733728,0.9053254437869822,0.8816568047337278,24521392128.0
149,MRVL,0.8966507177033494,0.5502392344497608,311.29,11.294242,1.2615891673599435,34943947.0,0.9617224880382776,0.8851674641148325,0.9760765550239234,272550952960.0
150,MTD,0.8363636363636364,0.9975429975429976,1245.565,3.5232508,1.250193696995079,191020.0,0.6633906633906634,0.8796068796068796,0.9828009828009828,25169879040.0
151,MTH,0.8729299363057325,0.8046709129511678,82.39,8.98148,1.5229967031420006,916327.0,0.9596602972399152,0.821656050955414,0.8450106157112527,5503706624.0
152,MU,0.9224264705882352,0.6666666666666666,1211.32,15.592783,1.2991498714389424,51095566.0,0.9852941176470588,0.8897058823529411,0.9975490196078431,1366046670848.0
153,MUR,0.8238636363636364,0.6994949494949495,36.02,4.64847,1.8959726474779957,1886773.0,0.8888888888888888,0.9318181818181818,0.5833333333333334,5163451392.0
154,MWH,0.806517094017094,0.6217948717948718,36.84,6.9997087,1.6701455711818407,1418550.0,0.938034188034188,0.8675213675213675,0.561965811965812,7765446656.0
155,NAVN,0.8613905325443786,0.5710059171597633,20.99,10.299521,2.0383080074502944,3960112.0,0.985207100591716,0.9289940828402368,0.6715976331360947,5338413056.0
156,NBIS,0.8480769230769231,0.7455621301775148,280.91,5.963786,1.3900007479839387,17166144.0,0.893491124260355,0.772189349112426,0.9526627218934912,71322542080.0
157,NESR,0.8541666666666666,0.6004901960784313,27.285,8.359807,2.2071998424910766,1970682.0,0.9632352941176472,0.9583333333333334,0.6078431372549019,2751617280.0
158,NOVT,0.8331695331695331,0.9238329238329238,159.08,4.657896,1.0325131251575568,456185.0,0.8427518427518428,0.7936117936117936,0.8402948402948403,5665364480.0
159,NRIX,0.8771498771498771,0.5921375921375921,22.405,16.08809,2.126586438905977,1782924.0,0.9877149877149876,0.9533169533169532,0.6928746928746928,2316807424.0
160,NTRA,0.9514861995753716,0.8853503184713376,259.97,10.7386,1.983735633502948,1481398.0,0.9808917197452228,0.9278131634819532,0.9745222929936306,37231702016.0
161,NVR,0.8112526539278132,1.0,6764.83,5.87301,1.1872289516973231,26748.0,0.8301486199575372,0.6305732484076433,1.0,18260252672.0
162,OC,0.8667728237791932,0.832271762208068,134.17,8.097,1.3852019772899882,1131043.0,0.940552016985138,0.7770700636942676,0.9118895966029724,10804484096.0
163,OCUL,0.8060650887573965,0.4763313609467455,9.64,7.8299866,2.434168804213218,2990968.0,0.9615384615384616,0.9644970414201184,0.4215976331360946,2110777856.0
164,OMAB,0.8868421052631579,0.9784688995215312,108.94,7.0453043,2.0093603560004247,84719.0,0.8301435406698564,0.9688995215311004,0.7966507177033493,5258661888.0
165,ONTO,0.9056511056511056,0.918918918918919,342.3,6.225173,1.2042584121675164,1097874.0,0.918918918918919,0.85995085995086,0.9557739557739556,17027222528.0
166,OUST,0.8449760765550238,0.6124401913875598,45.0984,13.312565,1.179000386797966,3583266.0,0.9880382775119616,0.8301435406698564,0.7368421052631579,2871548160.0
167,PAYP,0.786489898989899,0.5959595959595959,14.61,6.48688,1.4962435131618144,1275660.0,0.9797979797979798,0.851010101010101,0.4305555555555556,9889122304.0
168,PGR,0.7970959595959597,0.8535353535353535,215.69,4.00714,1.1925251804696204,2955068.0,0.8207070707070707,0.702020202020202,0.8939393939393939,125574717440.0
169,PHM,0.868895966029724,0.7813163481953291,135.71,7.23825,1.5514688342516307,1886462.0,0.9087048832271762,0.8386411889596603,0.8959660297239915,25850904576.0
170,PLBL,0.8442583732057416,0.9497607655502392,8.51,9.806455,18.0,19733.0,0.9425837320574164,1.0,0.34688995215311,3117957376.0
171,PODD,0.7813131313131313,0.8863636363636364,143.9,3.54752,1.2923374522630382,1404572.0,0.7474747474747475,0.7575757575757576,0.8295454545454546,9967185920.0
172,PRAX,0.9167735042735042,0.938034188034188,327.86,6.124161,1.897878063161242,452841.0,0.8824786324786325,0.9316239316239316,0.9401709401709402,9140334592.0
173,PRIM,0.9290870488322716,0.7282377919320594,92.69,9.11125,2.9206771251913266,1980904.0,0.9639065817409768,0.9851380042462844,0.8704883227176221,5028890112.0
174,PTCT,0.9266272189349112,0.893491124260355,78.53,7.1789303,2.333316420750247,1340225.0,0.9437869822485208,0.9615384615384616,0.8520710059171598,6514011136.0
175,PTRN,0.8631656804733727,0.7603550295857988,20.45,6.677103,6.023203561950299,1139825.0,0.9230769230769232,0.9911242603550297,0.5857988165680473,4058690048.0
176,QBTS,0.7881578947368422,0.1674641148325359,26.285,12.473252,1.2135897639801745,33223226.0,0.9808612440191388,0.8636363636363636,0.6291866028708134,9737151488.0
177,QCOM,0.8418918918918918,0.542997542997543,207.005,4.9056168,1.257963060630733,21382011.0,0.8673218673218673,0.8845208845208845,0.8722358722358723,218183270400.0
178,QURE,0.9718934911242604,0.7899408284023669,48.16,78.436455,11.208075110062063,1747196.0,1.0,1.0,0.9644970414201184,3037329920.0
179,RARE,0.8569526627218934,0.7307692307692307,26.91,8.289737,1.7432062803192208,1829079.0,0.9674556213017752,0.8816568047337278,0.6834319526627219,2650344960.0
180,RBRK,0.8223484848484847,0.702020202020202,74.24,5.26017,1.302037475029273,3814967.0,0.9368686868686869,0.7676767676767676,0.7777777777777778,15280711680.0
181,RCL,0.751555023923445,0.8732057416267942,313.455,6.479714,0.9088319361406958,2712463.0,0.7822966507177034,0.583732057416268,0.930622009569378,84067049472.0
182,RDDT,0.7767942583732057,0.7559808612440191,181.87,12.196168,0.8194541711955021,4981965.0,0.9760765550239234,0.492822966507177,0.9354066985645934,35011616768.0
183,RGC,0.8087121212121212,0.8661616161616161,11.08,5.4234,1.8503000923361037,138624.0,0.941919191919192,0.9191919191919192,0.3535353535353535,5478937088.0
184,RGEN,0.8550955414012738,0.8450106157112527,138.4,9.51966,1.2547914204577133,1094091.0,0.970276008492569,0.6963906581740976,0.9363057324840764,7806831104.0
185,RHP,0.8246284501061572,0.9044585987261148,129.77,4.45947,2.5278803039441167,595241.0,0.673036093418259,0.9745222929936306,0.7876857749469215,8189690368.0
186,ROAD,0.7650717703349281,0.9114832535885168,120.43,5.7609534,1.1307807478233247,560373.0,0.6913875598086124,0.7870813397129187,0.7822966507177034,6808479232.0
187,ROKU,0.671311475409836,0.8579234972677595,138.8,-1.4904124,1.8177301118715383,3064944.0,0.3224043715846995,0.9726775956284152,0.6612021857923497,20589891584.0
188,RUN,0.8188959660297239,0.2377919320594479,14.42,12.5683,5.76873209396508,9117387.0,0.9915074309978767,1.0,0.4904458598726114,3439880704.0
189,RVMD,0.8725490196078431,0.7745098039215687,179.14,5.450903,1.2319982523976007,3222701.0,0.9044117647058824,0.8700980392156863,0.8700980392156863,38084530176.0
190,RVTY,0.8743872549019608,0.8259803921568627,112.635,6.631644,1.172184541612459,1311314.0,0.928921568627451,0.8529411764705882,0.8406862745098039,12565535744.0
191,RYTM,0.9227810650887572,0.9437869822485208,95.83,6.8100767,2.151561194067088,801630.0,0.9319526627218936,0.9378698224852072,0.8698224852071006,6573322752.0
192,SAIL,0.6031007751937985,0.4341085271317829,14.68,3.3075318,0.4088050519474495,3988165.0,0.5891472868217055,0.8682170542635659,0.2480620155038759,8326246400.0
193,SATS,0.6609289617486339,0.73224043715847,118.63,0.6483326,1.0016537829511925,8084495.0,0.4699453551912568,0.9562841530054644,0.4426229508196721,34380574720.0
194,SEI,0.7640532544378698,0.8284023668639053,81.28,6.7367,1.089945480303029,2412706.0,0.9260355029585798,0.5384615384615384,0.8431952662721893,7592133632.0
195,SEZL,0.8843301435406699,0.9090909090909092,145.81,9.879428,1.1564025231849924,681044.0,0.9473684210526316,0.8110047846889952,0.8899521531100478,4903155712.0
196,SHAK,0.6802259887005649,0.7966101694915254,61.29,4.948629,0.329348030490236,2079223.0,0.8757062146892656,0.423728813559322,0.7288135593220338,2622079488.0
197,SHOP,0.8363057324840764,0.5180467091295117,114.17,6.02712,1.9227232127378096,10238495.0,0.8428874734607219,0.9193205944798302,0.8386411889596603,148153237504.0
198,SII,0.8452153110047845,0.9688995215311004,128.01,7.757415,1.1327402755974183,194922.0,0.8660287081339713,0.7894736842105263,0.8444976076555024,3300428032.0
199,SIMO,0.8400887573964496,0.970414201183432,307.12,8.64582,1.1421686873956045,948915.0,0.9763313609467456,0.5887573964497042,0.9763313609467456,10413774848.0
200,SKE,0.7852870813397129,0.7751196172248804,29.915,6.421203,1.6187730564655898,736236.0,0.7799043062200957,0.9401913875598086,0.5287081339712919,3711984384.0
201,SNDK,0.8524509803921568,0.8627450980392157,2279.395,18.63106,0.7706576902034745,14187622.0,0.9901960784313726,0.6274509803921569,1.0,337555062784.0
202,SRRK,0.8082070707070707,0.7904040404040404,51.27,4.22851,1.5417322978928236,1418913.0,0.8535353535353535,0.8661616161616161,0.6363636363636364,6143598592.0
203,SSRM,0.8153005464480875,0.6666666666666666,31.31,8.189353,0.5093495325083717,3332680.0,0.9781420765027322,0.7704918032786885,0.6830601092896175,6496545280.0
204,STEP,0.7692583732057415,0.7870813397129187,47.0,5.879704,1.4004199514020896,1051074.0,0.7129186602870813,0.9114832535885168,0.6100478468899522,5923696640.0
205,STX,0.8820574162679425,0.9234449760765552,1016.7,9.200468,1.0882134800249268,3949147.0,0.930622009569378,0.7583732057416268,0.992822966507177,227973611520.0
206,SVM,0.5631782945736434,0.4031007751937984,12.6303,3.695612,0.2685724882697775,4006531.0,0.6666666666666666,0.689922480620155,0.2403100775193798,2793854208.0
207,SXI,0.8615196078431372,0.9877450980392156,336.3,5.807951,0.893484578128983,196150.0,0.909313725490196,0.7279411764705882,0.9485294117647058,4074248192.0
208,SYRE,0.7963017751479289,0.9053254437869822,87.49,4.891493,1.2823590970122054,1171533.0,0.8609467455621301,0.6923076923076923,0.8106508875739645,7597741056.0
209,TARS,0.8554292929292929,0.8888888888888888,66.17,4.10635,2.045778129325688,616954.0,0.8409090909090909,0.9494949494949496,0.6994949494949495,2846895360.0
210,TECH,0.9449754901960784,0.6813725490196079,70.55,19.830153,16.632736449330128,2732245.0,0.9950980392156864,0.9975490196078431,0.8970588235294118,11045925888.0
211,TEM,0.8447368421052631,0.5454545454545454,52.54,9.87035,1.393155182646229,6020409.0,0.944976076555024,0.9066985645933014,0.7105263157894737,9434333184.0
